name,birth_date,birth_place,country,death_date,death_place
H.P. Lovecraft,1890-08-20,"Providence, Rhode Island",USA,1937-03-15,"Providence, Rhode Island"
Bram Stoker,1847-11-08,Dublin,Ireland,1912-04-20,London
Mary Shelley,1797-08-30,London,England,1851-02-01,London
William Peter Blatty,1928-01-07,New York City,USA,2017-01-12,"Bethesda, Maryland"
Shirley Jackson,1916-12-14,San Francisco,USA,1965-08-08,"North Bennington, Vermont"
Stephen King,1947-09-21,"Portland, Maine",USA,,
Max Brooks,1972-05-22,New York City,USA,,
